,gender,name,original_name
1405866,0,Norma Shebbeare,Norma Shebbeare
18768,1,Niké Arrighi,Niké Arrighi
71248,2,James Laurenson,James Laurenson
16380,2,Michael Graham Cox,Michael Graham Cox
1217911,2,Richard Heffer,Richard Heffer
1405867,0,Michael Garratt,Michael Garratt
8924,2,Frank Langella,Frank Langella
1419074,0,Lorraine Cullen,Lorraine Cullen
1419075,2,Frannie Michel,Frannie Michel
1419076,0,Lee Addoms,Lee Addoms
1126930,2,Peter Dohanos,Peter Dohanos
1419078,0,Valma,Valma
178202,1,Hilda Haynes,Hilda Haynes
10560,2,Donald Symington,Donald Symington
1225450,2,Lester Rawlins,Lester Rawlins
92582,1,Alley Mills,Alley Mills
35824,2,Alice Cooper,Alice Cooper
1039,2,Peter Boyle,Peter Boyle
103982,1,Ja'net DuBois,Ja'net DuBois
103940,1,Diana Sands,Diana Sands
20959,2,Louis Gossett Jr.,Louis Gossett Jr.
178128,1,Marki Bey,Marki Bey
82685,2,Mel Stewart,Mel Stewart
26715,2,Robert Klein,Robert Klein
157301,2,Will Mackenzie,Will Mackenzie
1529507,0,Gretchen Walther,Gretchen Walther
84915,0,Oliver Clark,Oliver Clark
1713469,1,Florynce Kennedy,Florynce Kennedy
1133881,2,Joe Madden,Joe Madden
74636,1,Trish Van Devere,Trish Van Devere
174942,2,Lawrence Cook,Lawrence Cook
1210,2,Hector Elizondo,Hector Elizondo
1227978,2,Lionel G. Wilson,Lionel G. Wilson
10227,1,Gloria Hendry,Gloria Hendry
2562360,0,Willis Pinkett,Willis Pinkett
2562361,0,Hannah Battle,Hannah Battle
2562362,0,Michael Ferguson,Michael Ferguson
2562363,0,Bobby V. Garvin,Bobby V. Garvin
2158594,0,Richard Usher,Richard Usher
2562364,0,Chelle C. Mordecai,Chelle C. Mordecai
1784274,1,Chris Calloway,Chris Calloway
88147,2,Carl Lee,Carl Lee
1176367,0,Van Kirksey,Van Kirksey
1055767,1,Louise Stubbs,Louise Stubbs
4964,2,Hal Ashby,Hal Ashby
